ID,Title,Severity,Category,Description,Affected Files,Status
"audit-1758989192359-3l1ubtmcf","فشل في عملية البناء","Critical","Functionality","فشل التطبيق في البناء بنجاح","","Open"
"audit-1758989192443-ycl75bk20","خطأ في الوصول لـ API: /api/health","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192503-a2wgsp5vn","خطأ في الوصول لـ API: /api/user","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192557-5szxmap10","خطأ في الوصول لـ API: /api/dashboard/stats","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192595-0aykb0782","خطأ في الوصول لـ API: /api/applications","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192633-vgvfcdf7p","خطأ في الوصول لـ API: /api/files","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192681-6v24x2x9c","خطأ في الوصول لـ API: /api/system/info","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192743-w3ny9zuyx","خطأ في الوصول لـ API: /api/notifications","Critical","Functionality","فشل في الوصول للـ API","server/routes.ts","Open"
"audit-1758989192746-zisoono5g","نقص في الوصولية: Dashboard.tsx","Low","UI/UX","الصفحة قد تفتقر لتسميات الوصولية","client/src/pages/Dashboard.tsx","Open"
"audit-1758989192747-zbgpiha0x","نقص في الوصولية: Applications.tsx","Low","UI/UX","الصفحة قد تفتقر لتسميات الوصولية","client/src/pages/Applications.tsx","Open"
"audit-1758989192749-k3mk1wf1o","نقص في الوصولية: FileManager.tsx","Low","UI/UX","الصفحة قد تفتقر لتسميات الوصولية","client/src/pages/FileManager.tsx","Open"
"audit-1758989192751-z2pz2daqh","نقص في الوصولية: HealthCheck.tsx","Low","UI/UX","الصفحة قد تفتقر لتسميات الوصولية","client/src/pages/HealthCheck.tsx","Open"
"audit-1758989192752-185k8omud","نقص في الوصولية: Terminal.tsx","Low","UI/UX","الصفحة قد تفتقر لتسميات الوصولية","client/src/pages/Terminal.tsx","Open"
